Environment,Episode,Robustness,Reward,End_Condition
0,0,-0.01153879343453955,-0.03153879343453955,reach_stay_collision
0,1,-0.0461625459187953,-0.0461625459187953,reach_no_stay_no_collision
0,2,-0.03925660170790807,-0.03925660170790807,reach_no_stay_collision
0,3,-0.06299033956611888,-0.06299033956611888,reach_no_stay_collision
0,4,-0.04508310722919513,-0.04508310722919513,reach_no_stay_collision
0,5,-0.015086339225219968,-0.03508633922521997,reach_no_stay_collision
0,6,-0.055509787776639744,-0.055509787776639744,reach_no_stay_collision
0,7,-0.08471505481366902,-0.08471505481366902,reach_no_stay_collision
0,8,-0.018588560808509052,-0.03408610394937082,reach_no_stay_collision
0,9,-0.011827924224358478,-0.03182792422435848,reach_no_stay_collision
0,10,-0.013383784317507103,-0.033383784317507104,reach_no_stay_collision
0,11,-0.027797903998271086,-0.027797903998271086,reach_no_stay_collision
0,12,-0.032603431239502254,-0.03573435647231771,reach_no_stay_collision
0,13,-0.010860059049507155,-0.030860059049507158,reach_no_stay_collision
0,14,-0.025425847221157694,-0.03248790296211059,reach_no_stay_collision
0,15,-0.02198441683514216,-0.03596064182977183,reach_no_stay_collision
0,16,-0.04366628707587179,-0.04366628707587179,reach_no_stay_collision
0,17,-0.01607599610335299,-0.033807852021690336,reach_no_stay_collision
0,18,-0.04130174983926446,-0.04130174983926446,reach_no_stay_collision
0,19,-0.012014974168981219,-0.03201497416898122,reach_no_stay_collision
0,20,-0.020276046699770522,-0.03258937635614973,reach_no_stay_collision
0,21,-0.013440394066708505,-0.033440394066708505,reach_no_stay_collision
0,22,-0.015646556420843245,-0.035646556420843245,reach_no_stay_collision
0,23,-0.007660367206586707,-0.027660367206586708,reach_no_stay_collision
0,24,-0.052128932820319746,-0.052128932820319746,reach_no_stay_collision
0,25,-0.02930207797517823,-0.03356433165067414,reach_no_stay_collision
0,26,-0.0566118933525752,-0.0566118933525752,reach_no_stay_collision
0,27,-0.020327816581859077,-0.024092105629695798,reach_no_stay_collision
0,28,-0.013690599051411286,-0.03369059905141129,reach_no_stay_collision
0,29,-0.03828455837493701,-0.03828455837493701,reach_no_stay_collision
0,30,-0.012948533199430744,-0.031760009590657806,reach_no_stay_collision
0,31,-0.03207442363319089,-0.03207442363319089,reach_no_stay_collision
0,32,-0.016393094023953326,-0.02167504720864998,reach_no_stay_collision
