Environment,Episode,Robustness
10,7,0.0019410132728910415
8,7,0.0019618620032555295
9,8,0.0063247535281079036
4,7,0.000982095494219775
2,13,0.008949603861513413
7,6,0.0033788546119034937
5,6,0.006675592234768511
6,11,0.0043836801761486174
2,14,0.00337086213769602
11,4,0.002401211524780577
6,12,0.003273466155103051
5,7,0.00707489174854317
0,12,0.007003068049856346
5,8,0.004595152188586839
5,9,0.0040779656759310605
1,5,0.008428680906827017
3,5,0.003433935674163665
8,8,0.004300506446364431
1,6,0.015972642665642908
4,8,0.0009251590910496627
2,15,0.0006861680007739894
1,7,0.012655974238225624
8,9,0.005521787026939996
6,13,0.003844983807035539
8,10,0.0047744775078591255
2,16,0.0015674514410130465
10,8,0.0024526884464759757
4,9,0.002014156570798925
11,5,0.0008734015331413464
10,9,0.0009692741479659199
4,10,0.00405049435702123
11,6,0.0023703927106434076
2,17,0.004265582176351753
9,9,0.011700319891745045
3,6,0.0001374038027236249
10,10,0.0024877200886710554
5,10,0.0014685053129488805
9,10,9.075580985296386e-05
2,18,0.004446031279152029
4,11,0.0015281762276302575
6,14,0.00499935173099714
1,8,0.0046496981534625125
3,7,0.006728430053914462
1,9,0.0032128152268664084
7,7,0.008991560095457193
9,11,0.01003680314318627
10,11,0.008323035465086863
6,15,0.0048497317043164016
4,12,0.006779694209080948
10,12,0.0037831085154872296
9,12,3.831685125429973e-05
2,19,0.007664759160193687
11,7,0.001940925971885367
2,20,0.0046749624913344865
10,13,0.0007436618936951488
9,13,0.005993671610121161
6,16,0.005769197814423688
1,10,0.0027675242502152135
8,11,0.001865922761218778
2,21,0.0010921643936947743
9,14,0.005558350880541841
4,13,0.0022217007275240966
4,14,0.00673644631911843
7,8,0.008953883019051432
4,15,0.007763256194601189
3,8,0.001232163265048103
1,11,0.001798925185647851
3,9,0.0030604340372291546
1,12,0.005569766798311745
2,22,0.004747224980945767
1,13,0.001593413006455869
3,10,0.005799724573357371
6,17,0.0020694375988260516
2,23,0.0010433456311658568
6,18,0.009059032096328162
8,12,0.0032140589833135995
4,16,0.0032324099148769506
2,24,0.001847379635758567
0,13,0.00012311505587376398
0,14,0.0008479522908838889
2,25,0.0009245510068198112
11,8,0.012104821664964774
3,11,0.0015783922673131244
4,17,0.0021701454902951327
2,26,0.00023205509547761724
4,18,0.0003480644207973539
2,27,0.004868890889640922
0,15,0.012950828567786949
0,16,0.008047729260845477
6,19,0.0060668088258818125
2,28,0.0010330529316803679
5,11,0.003173395175439464
4,19,0.00021858052927493932
11,9,0.002587175105033448
6,20,0.0054978593718212135
1,14,0.0002856958515376276
2,29,0.0008102798959790936
7,9,0.006126362478542343
11,10,0.0007434195167012533
7,10,0.00579492461014036
3,12,0.0032329753834694983
11,11,0.0030032045081619767
2,30,0.00627581982721696
8,13,0.00036300729483587646
5,12,0.007528491455270743
7,11,0.001486846677668182
8,14,0.008981546810797438
11,12,0.0007496544614133301
10,14,0.011532078404150584
7,12,0.008546300770482629
1,15,0.002394814343226779
3,13,0.001396006632604245
1,16,0.010763830898440565
5,13,0.008878006315798827
4,20,0.003789472214430333
4,21,0.0018370676015912503
5,14,0.0029948474603625486
3,14,0.004906513781351951
7,13,0.006764489835831319
10,15,0.001523560970855431
4,22,0.0001219915162353237
9,15,0.0006354291816238825
11,13,0.0011657610376826777
10,16,0.010159269807494714
10,17,0.01385401827015256
3,15,0.003115581485610395
8,15,0.006151355119619915
6,21,0.005990456925695808
2,31,0.0009911933262237924
2,32,0.004452215725561986
6,22,0.010104304896116151
11,14,0.009544027313181025
4,23,0.001027412971204747
9,16,0.0035448622821261135
10,18,0.00014102099938326923
11,15,0.003308627191493378
4,24,0.0055620334486461386
8,16,0.002415453074883476
4,25,0.010133333996659359
4,26,0.0012072029087797816
1,17,0.004069110594371976
8,17,0.008475472535831667
0,17,0.005712005471394872
6,23,0.004710792666134306
1,18,0.00582837176729515
2,33,0.00906174774306676
11,16,0.0003065311367693481
9,17,0.0049432558358808495
0,18,0.002969728714969106
2,34,0.00037622257323631503
4,27,0.002502479898041844
5,15,0.0028991101940113
3,16,0.0024459803099461247
9,18,0.0020982157300933717
6,24,0.001991226079642007
7,14,3.1795418565985084e-05
7,15,0.003572201769351732
0,19,0.007421225995090182
6,25,0.00941470571528003
5,16,0.005496971090265529
3,17,0.006649221080197262
10,19,0.004846671211192557
0,20,0.01016416450650842
9,19,0.0026111704605810207
4,28,0.0023414974690462893
5,17,0.0004949584423513884
1,19,0.012723567217546163
7,16,0.009298399650739069
10,20,0.002195905634450511
1,20,0.017117703603689707
2,35,0.0019269355211279753
6,26,0.001142341367142325
11,17,0.0054246570153406466
3,18,0.006298345745725896
