Environment,Episode,Robustness,Reward,End_Condition
9,7,-0.1409293567146898,-0.1409293567146898,no_reach_no_collision
10,7,-0.14149707699173397,-0.14149707699173397,no_reach_no_collision
11,7,-0.034931614760263255,-0.034931614760263255,no_reach_no_collision
0,8,-0.12113026881892953,-0.12113026881892953,no_reach_no_collision
1,8,-0.14892282278304944,-0.14892282278304944,no_reach_no_collision
2,8,-0.05537960178330445,-0.05537960178330445,no_reach_no_collision
3,8,-0.17735353464615825,-0.17735353464615825,no_reach_no_collision
4,8,-0.08046805547010996,-0.08046805547010996,reach_no_stay_no_collision
5,8,-0.12076109915538509,-0.12076109915538509,reach_no_stay_no_collision
6,8,-0.03997040173103178,-0.04048482541646425,reach_no_stay_collision
7,8,-0.14704269191357547,-0.14704269191357547,no_reach_no_collision
8,8,-0.1510950382224608,-0.1510950382224608,no_reach_no_collision
9,8,-0.1662561413763895,-0.1662561413763895,no_reach_no_collision
10,8,-0.155754283230956,-0.155754283230956,no_reach_no_collision
11,8,-0.11988854656177998,-0.11988854656177998,no_reach_no_collision
0,9,-0.20941179004984986,-0.20941179004984986,no_reach_no_collision
1,9,-0.07041708888449386,-0.07041708888449386,reach_no_stay_collision
2,9,-0.06996881348412522,-0.06996881348412522,no_reach_no_collision
3,9,-0.10697926392346639,-0.10697926392346639,no_reach_no_collision
4,9,-0.15112899496211116,-0.15112899496211116,no_reach_no_collision
5,9,-0.16346075280575242,-0.16346075280575242,no_reach_no_collision
6,9,-0.11195830941532904,-0.11195830941532904,no_reach_no_collision
7,9,-0.13414063058787037,-0.13414063058787037,no_reach_no_collision
8,9,-0.06877469043808294,-0.06877469043808294,no_reach_no_collision
9,9,-0.11579581349945951,-0.11579581349945951,no_reach_no_collision
10,9,-0.11276494315336215,-0.11276494315336215,no_reach_no_collision
11,9,-0.08183125666959896,-0.08183125666959896,no_reach_no_collision
0,10,-0.11819685473995466,-0.11819685473995466,no_reach_no_collision
1,10,-0.05208431549537064,-0.05208431549537064,no_reach_no_collision
2,10,-0.05667279764009002,-0.05667279764009002,no_reach_no_collision
3,10,-0.13589455482700782,-0.13589455482700782,no_reach_no_collision
4,10,-0.06281834894948503,-0.06281834894948503,no_reach_no_collision
5,10,-0.10377009776871791,-0.10377009776871791,no_reach_no_collision
6,10,-0.15394736854493699,-0.15394736854493699,no_reach_no_collision
7,10,-0.08279541174249291,-0.08279541174249291,no_reach_collision
8,10,-0.1681954105486073,-0.1681954105486073,no_reach_no_collision
9,10,-0.11606383776104291,-0.11606383776104291,no_reach_no_collision
10,10,-0.1656416461156595,-0.1656416461156595,no_reach_no_collision
11,10,-0.11865763587986967,-0.11865763587986967,no_reach_no_collision
0,11,-0.12127521621653169,-0.12127521621653169,no_reach_no_collision
1,11,-0.1564933315205027,-0.1564933315205027,no_reach_no_collision
2,11,-0.2136656657360968,-0.2136656657360968,no_reach_no_collision
3,11,-0.17939715888467375,-0.17939715888467375,no_reach_no_collision
4,11,-0.10976801516765027,-0.10976801516765027,no_reach_no_collision
5,11,-0.21350393994596992,-0.21350393994596992,no_reach_no_collision
6,11,-0.11525714094227847,-0.11525714094227847,no_reach_no_collision
7,11,-0.16466865082476856,-0.16466865082476856,no_reach_no_collision
8,11,-0.08216698779006933,-0.08216698779006933,reach_no_stay_no_collision
9,11,-0.11276007067660242,-0.11276007067660242,no_reach_no_collision
