Environment,Episode,Robustness
2,0,0.005137125799735038
0,0,0.0013904544522511213
9,0,0.011235781204206229
2,1,0.002702175216461364
1,0,-0.018826070669504927
3,0,-0.015742392072630663
4,0,-0.017501201478748524
5,0,-0.01772152036701535
6,0,-0.017376210094093594
7,0,-0.024107210470781928
8,0,-0.04369244582204315
10,0,-0.014116117082716772
11,0,-0.03370679581962134
2,2,0.0015149400816525833
6,1,0.002541827859687134
7,1,0.00529079581677187
5,1,0.0027916537987362454
9,1,0.009055377688393125
2,3,0.004135297438916195
7,2,0.002410679434469064
0,1,-0.003416404098890026
9,2,0.0001566253069699916
4,1,0.00824673582472997
8,1,0.008501712024841748
7,3,0.0010575308813906177
1,1,-0.03295226754131533
3,1,-0.014155601355044244
10,1,-0.006003465332614734
11,1,-0.041773361351074234
9,3,0.0009513760780709146
6,2,-0.01600350122719509
5,2,0.003004532583359497
7,4,0.0036862227607480508
9,4,0.0010401796927447214
10,2,0.0006187788994502889
2,4,0.007727958554487432
4,2,0.0010411972027460983
8,2,0.003316506086451145
9,5,0.005644135421126321
7,5,6.030842610913953e-05
0,2,-0.007002247044177741
10,3,0.013343877893159134
6,3,0.0010169839006902992
10,4,0.006441576953888544
8,3,0.007974548957369102
11,2,0.005652369733767176
1,2,-0.007252856903969072
3,2,-0.03365814507873796
9,6,0.006391950293110302
7,6,0.0014837914610783924
5,3,-0.0021447692291592345
8,4,0.005962468736513817
2,5,-0.0038331620237106456
4,3,-0.060623409281239785
11,3,0.00659236470834261
0,3,-0.03191541393120237
1,3,0.0007534494216706218
11,4,0.010156501134514575
8,5,0.0024836658602286586
4,4,0.0028537680581059398
0,4,0.004143944838683317
6,4,-0.0014617894828143387
3,3,0.005768932999897903
10,5,-0.009591992121567361
6,5,0.003175230968412806
1,4,0.0005875201673002511
0,5,0.0019023463487036103
8,6,0.005661281709149505
9,7,0.005481734829612854
7,7,-0.010782204615725797
8,7,0.0003175669883358559
6,6,0.0016505756980242266
7,8,0.006762705285056092
5,4,-0.022536257741266243
9,8,0.0025168043833022763
10,6,0.006196021955468912
2,6,0.010664414196491239
1,5,0.0006242678500693738
11,5,0.004952440694526076
5,5,0.005342164102593579
6,7,0.009977830704500042
4,5,0.002060803786182352
8,8,0.003224746285909217
1,6,0.002282471304237463
6,8,0.00915681302904144
3,4,0.004162374141479432
2,7,0.002047886173713577
0,6,0.0015881932520560305
10,7,0.005937952302738874
11,6,0.000361694926633533
