Episode,Mean Reward
0,-0.04549944503498022
1,-0.07829452264992207
2,-0.061279004271223125
3,-0.028399665977307906
4,-0.034974624893526166
5,-0.03401471878776339
6,-0.02412866736987541
7,-0.04710566714305913
8,-0.02169029581226933
9,-0.06034781207170223
10,-0.039802708559012995
11,-0.061972594939458
12,-0.050644054148167715
13,-0.14036089725329026
14,-0.02557509714131762
15,-0.012173883951515046
16,-0.06488864907038985
17,-0.03311727437009174
18,-0.021136783288480464
19,-0.04271163195418302
20,-0.03978259571224599
21,-0.018225220760794646
22,-0.023997496133636314
23,-0.010320101362420836
24,-0.020529386023630962
25,-0.1097296773746992
26,-0.0683393089180893
27,-0.06713688539935751
28,-0.011752176169814025
29,-0.025843494532341787
30,-0.0633012482826445
31,-0.03153488851062985
32,-0.06542237562517793
33,-0.042486599911762984
34,-0.03867286749886645
35,-0.033180675726953886
36,-0.015745553675290288
37,-0.114492984449663
38,-0.09970346609235008
39,-0.09629887803646406
40,-0.04875097032324638
41,-0.041464971720241904
42,-0.007549619524797463
43,-0.04625679541763137
44,-0.1043541348274804
45,-0.06356684108619529
46,-0.03345256108907345
47,-0.022680022579306285
