Environment,Episode,Robustness,End_Condition
10,15,-0.031825249896728344,collision
7,12,-0.03273574325174016,collision
7,13,-0.0331309443642996,collision
7,14,-0.07586587194803249,collision
7,15,0.003692001825217176,perfect
9,12,-0.01864815365628333,too_many_steps
0,13,-0.021021715968370762,too_many_steps
6,15,-0.03362689110256953,collision
1,14,-0.026053019833762136,too_many_steps
8,12,-0.01595492485914695,too_many_steps
6,16,-0.0346136497997174,collision
6,17,0.0013073493286667737,perfect
3,14,-0.017733551789560105,too_many_steps
8,13,0.0023144768249291348,perfect
0,14,-0.03956945846566436,collision
4,15,-0.00623982386822175,too_many_steps
11,13,-0.016256496567560494,too_many_steps
3,15,0.00407174220396701,perfect
2,17,-0.010296138987221867,too_many_steps
5,15,-0.02991901507588954,too_many_steps
10,16,-0.01991988893113461,too_many_steps
8,14,0.001508607557315425,perfect
11,14,0.007380041746541617,perfect
9,13,-0.033783874080080184,collision
8,15,0.0013372939743832683,perfect
3,16,-0.036478550654636455,collision
7,16,-0.0021072105844712405,too_many_steps
0,15,-0.03035307527187537,collision
3,17,-0.030873155892561437,collision
10,17,-0.04019559104646184,collision
6,18,-0.036642539385633666,collision
6,19,0.003287564155406656,perfect
6,20,0.0021951029112848436,perfect
7,17,-0.03591282721462333,collision
1,15,-0.029122051171651783,too_many_steps
4,16,-0.0047203244497038,too_many_steps
2,18,-0.016933516077097498,too_many_steps
4,17,-0.0428276141288677,collision
8,16,-0.03173797455476059,collision
2,19,-0.036015135405503565,collision
5,16,-0.017544751825729094,too_many_steps
11,15,0.0006946021959164453,perfect
0,16,-0.03225409705529862,collision
0,17,-0.036024143173230674,collision
4,18,-0.04139600588650662,collision
9,14,-0.016726234527992878,too_many_steps
4,19,-0.03339987449124001,collision
8,17,-0.03617107823217673,collision
3,18,-0.0439309664955759,too_many_steps
7,18,-0.0303397973886495,collision
10,18,-0.01699626897725197,too_many_steps
1,16,0.010853809431133267,perfect
6,21,-0.019350307650605494,too_many_steps
8,18,-0.04296532716728153,collision
2,20,0.0021805686974965093,perfect
8,19,0.00022813588218987754,perfect
8,20,0.0036658442907372517,perfect
1,17,0.00022034855636217376,perfect
5,17,-0.017391994416152533,too_many_steps
11,16,-0.024445348879196895,too_many_steps
0,18,-0.022401385729713282,too_many_steps
9,15,-0.035508012226509,too_many_steps
4,20,-0.02616955927149285,too_many_steps
6,22,-0.03241728226702145,collision
4,21,-0.030831825628359146,collision
3,19,-0.01663079296106408,too_many_steps
6,23,-0.0449731352143053,collision
7,19,-0.0005352356610457271,too_many_steps
10,19,-0.022750713511160887,too_many_steps
4,22,0.004170150687111126,perfect
10,20,0.0032991240236570005,perfect
7,20,-0.030318330607915212,collision
4,23,-0.041185813571372284,collision
9,16,-0.03911075366902939,collision
4,24,-0.03178601195584313,collision
10,21,-0.04002327471967451,collision
4,25,-0.08176891203447037,collision
2,21,-0.020728233052816857,too_many_steps
8,21,-0.025823471113376337,too_many_steps
7,21,-0.03471903580763763,collision
10,22,-0.03506981239755878,collision
1,18,-0.03169141202196439,too_many_steps
1,19,-0.07752017345867777,collision
6,24,-0.034774227296079055,collision
9,17,-0.035814761482580205,collision
9,18,0.0011087884307698775,perfect
5,18,-0.023054297549174475,too_many_steps
11,17,-0.006858945903964818,too_many_steps
0,19,-0.013854891456405786,too_many_steps
2,22,0.0031270429369709522,perfect
1,20,0.004324987425512072,perfect
6,25,0.0045679069684856285,perfect
3,20,-0.03128410018831171,collision
11,18,0.000653818153466084,perfect
11,19,-0.030270128231785626,collision
6,26,-0.03697814613282073,collision
6,27,-0.05895068191475371,collision
4,26,-0.009511374690075493,too_many_steps
8,22,-0.04640878733915857,collision
8,23,-0.060936005037790994,collision
7,22,-0.022422181913694824,too_many_steps
10,23,-0.0246713692304614,too_many_steps
