Environment,Episode,Step,Robustness
0,47,0,-0.00035591612300549594
1,47,0,-0.0005332723028141848
0,48,0,-0.0003680475020945845
1,48,0,-0.00044358068340282983
0,49,0,-0.0007783361293422116
1,49,0,-5.324091705882425e-05
0,50,0,-0.0005282162179847533
1,50,0,-0.004007491919328497
0,51,0,-0.00530536511993712
1,51,0,-0.005455733270141233
0,52,0,-0.0002134956929720419
1,52,0,-0.0007490047414744315
0,53,0,-0.000809793280976679
1,53,0,-0.0005803287572369795
0,54,0,-6.080590648491549e-05
1,54,0,-0.0006119582010429177
0,55,0,-0.0009502766942361095
1,55,0,-0.0009032222461071993
0,56,0,-0.00024359578063849058
1,56,0,-0.009713968313011296
0,57,0,-0.00028199650060020676
1,57,0,-0.0008670522176406903
0,58,0,-0.0002979736156277363
1,58,0,-0.009453840798742761
0,59,0,-0.00025011028093721924
1,59,0,-0.0005821654956228856
0,60,0,-0.00017011246781972397
1,60,0,-0.00017540463408366458
0,61,0,-0.00045432050014086386
1,61,0,-0.00016272657948180475
0,62,0,-0.00020726840875537333
1,62,0,-0.0003316448546540514
0,63,0,-0.0005653092900681639
1,63,0,-0.00044219000541593015
0,64,0,-0.0008189195608988981
1,64,0,-0.0009430807266846315
0,65,0,-0.00016230504268040236
1,65,0,-0.0005219363979472209
0,66,0,-0.0008746966858100384
1,66,0,-0.0002998002801596032
0,67,0,-0.00031314079809235257
1,67,0,-5.399403843725156e-05
0,68,0,-0.002960020664953298
1,68,0,-2.4831823611223824e-05
0,69,0,-0.002196273336605419
1,69,0,-0.0016440718524258283
0,70,0,-0.0044335832466444024
1,70,0,-0.0010110331939791606
0,71,0,-0.0026313915260418527
1,71,0,-0.008865900589286558
0,72,0,-0.003510413587188649
1,72,0,-0.0005223577296861077
0,73,0,-7.407022445026293e-05
1,73,0,-0.000518029875040571
0,74,0,-0.007523792822705495
1,74,0,-0.0008339774301381296
0,75,0,-0.004134290348722387
1,75,0,-0.0069075109004146755
0,76,0,-0.00038040423520098107
1,76,0,-0.0009743920447357543
0,77,0,-0.00031863848024420854
1,77,0,-0.008396306508037223
0,78,0,-0.00016677119565022824
1,78,0,-0.0017171524417702762
0,79,0,-0.00506449744397002
1,79,0,-8.751101585962803e-05
0,80,0,-0.0006949913342081462
1,80,0,-0.00042609843178187737
0,81,0,-0.0002761575048255728
1,81,0,-0.0007424058703442496
0,82,0,-0.0005656811358639921
1,82,0,-0.0007959755121925427
0,83,0,-4.924903322253357e-05
1,83,0,-9.015781039582033e-05
0,84,0,-0.00042539719209550367
1,84,0,-0.00042857646827287876
0,85,0,-0.0009598622958649633
1,85,0,-0.00012975389332967047
0,86,0,-0.00027452948011343764
1,86,0,-0.00036798631167319837
0,87,0,-0.0005644028783106658
1,87,0,-0.0002394346484990567
0,88,0,-0.00246547331226463
1,88,0,-0.004789762754101538
0,89,0,-0.0005270906541078937
1,89,0,-0.008453056792543216
0,90,0,-0.0003187273148138915
1,90,0,-0.0002634032745849092
0,91,0,-0.004789051965692643
1,91,0,-0.0005597596507876494
0,92,0,-0.00038874953408508245
1,92,0,-1.3348847514190604e-05
0,93,0,-1.096687627249321e-06
1,93,0,-2.3213645490113843e-05
0,94,0,-0.0003944041305821572
1,94,0,-0.0025580652619161155
0,95,0,-0.0065281636897526404
1,95,0,-0.0003285077787624803
0,96,0,-0.0006496612292085265
1,96,0,-0.0005400416209938239
0,97,0,-0.0007016932113830775
1,97,0,-0.0005738467388101895
0,98,0,-0.00018595734570431982
1,98,0,-0.0006499035282672046
0,99,0,-0.006050138549818437
1,99,0,-0.00029831691039677866
0,100,0,-0.009755052624892725
1,100,0,-0.0023911809192043443
0,101,0,-0.0047528548365812565
1,101,0,-0.0003484035805750296
0,102,0,-0.005578399510581426
1,102,0,-0.000340366580889432
0,103,0,-0.00029173130472128633
1,103,0,-0.001123019506895355
0,104,0,-0.0002687939445362407
1,104,0,-1.660244707879857e-05
0,105,0,-4.294738112999713e-06
1,105,0,-0.007923159204521404
0,106,0,-0.0004405242849219726
1,106,0,-0.00044076569125537507
0,107,0,-0.00045185985241621984
1,107,0,-0.0004355460396045299
0,108,0,-0.00012802016091283813
1,108,0,-0.0007112592078146254
