Environment,Episode,Robustness,Reward,End_Condition
0,0,-0.21918040865039815,-0.21918040865039815,no_reach_no_collision
0,1,-0.1843973174430271,-0.1843973174430271,no_reach_no_collision
0,2,-0.22159563298988588,-0.22159563298988588,no_reach_no_collision
0,3,-0.18404132266040513,-0.18404132266040513,no_reach_no_collision
0,4,-0.2120750390611178,-0.2120750390611178,no_reach_no_collision
0,5,-0.23024107216786585,-0.23024107216786585,no_reach_no_collision
0,6,-0.1970719318785827,-0.1970719318785827,no_reach_no_collision
0,7,-0.20324130521063932,-0.20324130521063932,no_reach_no_collision
0,8,-0.176300559022945,-0.176300559022945,no_reach_no_collision
0,9,-0.1786097458822491,-0.1786097458822491,no_reach_no_collision
0,10,-0.2061067655787067,-0.2061067655787067,no_reach_no_collision
0,11,-0.1883623234435356,-0.1883623234435356,no_reach_no_collision
0,12,-0.1709071908078373,-0.1709071908078373,no_reach_no_collision
0,13,-0.17941846193445407,-0.17941846193445407,no_reach_no_collision
0,14,-0.18899594577848067,-0.18899594577848067,no_reach_no_collision
0,15,-0.11751270059233836,-0.11751270059233836,no_reach_no_collision
0,16,-0.22264396618660084,-0.22264396618660084,no_reach_no_collision
0,17,-0.19622180047525944,-0.19622180047525944,no_reach_no_collision
0,18,-0.17927134281424403,-0.17927134281424403,no_reach_no_collision
0,19,-0.17564414169461376,-0.17564414169461376,no_reach_no_collision
0,20,-0.1370354210713592,-0.1370354210713592,no_reach_no_collision
0,21,-0.13228489173974262,-0.13228489173974262,no_reach_no_collision
0,22,-0.13050094358792946,-0.13050094358792946,no_reach_no_collision
0,23,-0.10760600228333088,-0.10760600228333088,no_reach_no_collision
0,24,-0.0844196975086501,-0.0844196975086501,no_reach_no_collision
0,25,-0.09946553458718059,-0.09946553458718059,no_reach_no_collision
0,26,-0.14252342201980475,-0.14252342201980475,no_reach_no_collision
0,27,-0.07032873674304169,-0.07032873674304169,no_reach_no_collision
0,28,-0.08013252199436853,-0.08013252199436853,no_reach_no_collision
0,29,-0.09704206049376603,-0.09704206049376603,no_reach_no_collision
0,30,-0.08402111189806868,-0.08402111189806868,no_reach_no_collision
0,31,-0.07610713240724183,-0.07610713240724183,no_reach_no_collision
0,32,-0.11394100738985487,-0.11394100738985487,no_reach_no_collision
0,33,-0.10731815197893797,-0.10731815197893797,no_reach_no_collision
0,34,-0.0827192361617659,-0.0827192361617659,no_reach_no_collision
0,35,-0.08234059706667751,-0.08234059706667751,no_reach_no_collision
0,36,-0.0713906544390275,-0.0713906544390275,no_reach_no_collision
0,37,-0.046551367139601396,-0.046551367139601396,no_reach_no_collision
0,38,-0.06313974383370825,-0.06313974383370825,no_reach_no_collision
0,39,-0.021401894428173415,-0.021401894428173415,no_reach_no_collision
0,40,-0.06038005321814574,-0.06038005321814574,no_reach_no_collision
0,41,-0.03705354473070613,-0.03705354473070613,no_reach_no_collision
0,42,-0.043962330358178994,-0.043962330358178994,no_reach_no_collision
0,43,-0.029242238541447137,-0.029242238541447137,no_reach_no_collision
0,44,-0.03211955733268834,-0.03211955733268834,no_reach_no_collision
0,45,-0.019413964372107056,-0.019413964372107056,no_reach_no_collision
0,46,-0.024748335699732563,-0.024748335699732563,no_reach_no_collision
0,47,-0.025471270527963,-0.025471270527963,no_reach_no_collision
0,48,-0.014254216973185168,-0.014254216973185168,no_reach_no_collision
0,49,-0.03181173756308796,-0.03181173756308796,no_reach_no_collision
0,50,-0.035911476440188383,-0.035911476440188383,no_reach_no_collision
0,51,-0.019759771784946197,-0.019759771784946197,no_reach_no_collision
0,52,-0.017076237157089186,-0.017076237157089186,reach_no_stay_no_collision
0,53,-0.014131328460082065,-0.014131328460082065,reach_no_stay_no_collision
0,54,-0.011910078398237389,-0.011910078398237389,no_reach_no_collision
0,55,-0.01841462332345083,-0.01841462332345083,reach_no_stay_no_collision
0,56,-0.01667812410643334,-0.01667812410643334,reach_no_stay_no_collision
0,57,-0.021097076931971357,-0.021097076931971357,reach_no_stay_no_collision
0,58,-0.006436713365396297,-0.006436713365396297,reach_no_stay_no_collision
0,59,-0.0031301313862473895,-0.0031301313862473895,reach_no_stay_no_collision
0,60,-0.012384867028444307,-0.012384867028444307,reach_no_stay_no_collision
0,61,-0.004607127450887802,-0.004607127450887802,reach_no_stay_no_collision
0,62,-0.004316277911909638,-0.004316277911909638,reach_no_stay_no_collision
0,63,-0.005725224058774101,-0.005725224058774101,reach_no_stay_no_collision
0,64,0.0006000730111017372,0.0006000730111017372,reach_stay_no_collision
0,65,-0.015250299023319158,-0.015250299023319158,reach_no_stay_no_collision
0,66,-0.0027677580701652646,-0.0027677580701652646,reach_no_stay_no_collision
0,67,-0.003739606168492445,-0.003739606168492445,reach_no_stay_no_collision
0,68,-0.0019140572489412325,-0.0019140572489412325,reach_no_stay_no_collision
0,69,-0.0005383445413389178,-0.0005383445413389178,reach_no_stay_no_collision
0,70,0.0018837632082062024,0.0018837632082062024,reach_stay_no_collision
0,71,0.00015187591776268106,0.00015187591776268106,reach_stay_no_collision
0,72,-0.005225190089152745,-0.005225190089152745,reach_no_stay_no_collision
0,73,-0.004945587044251413,-0.004945587044251413,reach_no_stay_no_collision
0,74,-0.003278993926824344,-0.003278993926824344,reach_no_stay_no_collision
0,75,0.008994672078588962,0.008994672078588962,reach_stay_no_collision
0,76,0.004733654542873368,0.004733654542873368,reach_stay_no_collision
0,77,0.0035662031461176982,0.0035662031461176982,reach_stay_no_collision
0,78,-0.005462876411442628,-0.005462876411442628,reach_no_stay_no_collision
0,79,-0.001053981756494321,-0.001053981756494321,reach_no_stay_no_collision
0,80,-0.004190989040132164,-0.004190989040132164,reach_no_stay_no_collision
0,81,-0.0037595494329407987,-0.0037595494329407987,reach_no_stay_no_collision
0,82,0.0006649309405054836,0.0006649309405054836,reach_stay_no_collision
0,83,0.005448865836546121,0.005448865836546121,reach_stay_no_collision
0,84,0.004284159814006882,0.004284159814006882,reach_stay_no_collision
0,85,0.005494516800338927,0.005494516800338927,reach_stay_no_collision
0,86,0.006433828855871369,0.006433828855871369,reach_stay_no_collision
0,87,0.009859793240008307,0.009859793240008307,reach_stay_no_collision
0,88,0.00593618305545862,0.00593618305545862,reach_stay_no_collision
0,89,0.0038307417396483863,0.0038307417396483863,reach_stay_no_collision
0,90,0.0028043984470873737,0.0028043984470873737,reach_stay_no_collision
0,91,0.011195898448241313,0.011195898448241313,reach_stay_no_collision
0,92,0.008066566952196434,0.008066566952196434,reach_stay_no_collision
0,93,0.0075285071739714365,0.0075285071739714365,reach_stay_no_collision
0,94,0.006575973420299582,0.006575973420299582,reach_stay_no_collision
0,95,0.009844548353309716,0.009844548353309716,reach_stay_no_collision
0,96,0.005317442082757759,0.005317442082757759,reach_stay_no_collision
0,97,0.004721148786970086,0.004721148786970086,reach_stay_no_collision
0,98,0.006983770169350275,0.006983770169350275,reach_stay_no_collision
0,99,0.007418635168048955,0.007418635168048955,reach_stay_no_collision
0,100,0.006206230408579554,-0.011070061132230608,reach_stay_no_collision
0,101,0.007129180035046933,0.007129180035046933,reach_stay_no_collision
0,102,0.009013514083946931,0.009013514083946931,reach_stay_no_collision
