Environment,Episode,Robustness
8,7,-0.11032093288060775
8,8,-0.16008195795512595
6,9,-0.09366617011798435
7,10,-0.0642821207578457
8,9,-0.09854651525090628
5,9,-0.06604649509513237
5,10,-0.16413863905371448
1,9,-0.09707570034882602
4,8,-0.08226863049591232
0,11,-0.07455245791484237
4,9,-0.13888202869178223
5,11,-0.12187516410391576
11,8,-0.06469396313278046
10,10,-0.057744310050356726
9,9,-0.036552060728481814
6,10,-0.05346113943999098
7,11,-0.08466291526802693
0,12,-0.10175084303802868
2,13,-0.07571027875364038
9,10,-0.11890501051557238
2,14,-0.12185901959202465
1,10,-0.06980335873350614
10,11,-0.04845641059944547
9,11,-0.06757118931863824
4,10,-0.06072903357118177
2,15,-0.06766162910460571
0,13,-0.1015987681825608
3,8,-0.04007936385626189
1,11,-0.09547259256902282
3,9,-0.1313144893860655
4,11,-0.10174197694211863
3,10,-0.09344690016375795
6,11,-0.09123501251165378
1,12,-0.13661738922824965
2,16,-0.07751416771252144
11,9,-0.07106341433589579
9,12,-0.10732031123308765
0,14,-0.09469663995168409
8,10,-0.04716072784244235
10,12,-0.12976180729880557
5,12,-0.0548056291833785
2,17,-0.09940484300074791
3,11,-0.11174419054358133
2,18,-0.120273613732912
1,13,-0.10849061944815526
1,14,-0.13036533485905444
11,10,-0.059466553502069905
3,12,-0.11437680608802982
4,12,-0.09175045004719955
11,11,-0.1413697110809437
5,13,-0.14776979449316915
9,13,-0.07454815500734421
11,12,-0.1393274189466696
9,14,-0.14986555831312928
7,12,-0.07321750556248784
0,15,-0.06951883516147397
1,15,-0.12674338759690287
2,19,-0.0853585222517155
11,13,-0.07810079450722288
8,11,-0.08301865438026014
0,16,-0.09540863784846078
4,13,-0.11540410117635423
11,14,-0.065237622168506
4,14,-0.10494656967678334
2,20,-0.0765797277344059
11,15,-0.12865597076999366
5,14,-0.11034366185043597
8,12,-0.09122054742513781
8,13,-0.16694427054505015
0,17,-0.06451415984207973
10,13,-0.08188572458766694
5,15,-0.13547935658857183
6,12,-0.07277255173148522
1,16,-0.07269064989840444
6,13,-0.15137872186017448
11,16,-0.10940660931504055
0,18,-0.11795928076165087
4,15,-0.10003322707878035
3,13,-0.05743891077365941
4,16,-0.16029876452387185
8,14,-0.12209404775058864
0,19,-0.11592812335969237
3,14,-0.12101403336399764
0,20,-0.1568531127647431
3,15,-0.14205535085785584
6,14,-0.10149669052852113
0,21,-0.06986057403196987
10,14,-0.06860846792417649
0,22,-0.09646297512903233
10,15,-0.15149066205508133
9,15,-0.07081433115987874
4,17,-0.0790168746390112
2,21,-0.07434781101149167
6,15,-0.13013080799051263
2,22,-0.1561528906991007
0,23,-0.09803018211210039
11,17,-0.0902783655487693
0,24,-0.1264556642426562
3,16,-0.06938899090503878
10,16,-0.14669917471310476
3,17,-0.10156626993334088
5,16,-0.08231890383569467
9,16,-0.10271137741355936
8,15,-0.06777845844263444
7,13,-0.0626608644419946
4,18,-0.10300999762578805
0,25,-0.08905716102649097
11,18,-0.0655237520995727
10,17,-0.10093416900548562
9,17,-0.13574988531566423
5,17,-0.1227356265414354
11,19,-0.1489361652780711
0,26,-0.10263631087140618
7,14,-0.11826389143756318
0,27,-0.15797971037942712
3,18,-0.10699686747445415
8,16,-0.07648276975887543
8,17,-0.15737226344964245
2,23,-0.06746316190345834
8,18,-0.11448858430909258
9,18,-0.13308552283329952
6,16,-0.08955212310137958
7,15,-0.11269706817163451
11,20,-0.10896241015316176
7,16,-0.14884399609662669
3,19,-0.1052104166802574
5,18,-0.08892279282442833
7,17,-0.12377684441599514
7,18,-0.13749548357019034
11,21,-0.06461942156042186
3,20,-0.12690525472882178
2,24,-0.055847852797874895
4,19,-0.056367260459963195
7,19,-0.13034600930213128
5,19,-0.10384731013959517
1,17,-0.08029088027461694
4,20,-0.12740770746119368
9,19,-0.08614897789035664
4,21,-0.12602638919428755
10,18,-0.05539068842736025
3,21,-0.08429519071046006
8,19,-0.041527277453013794
8,20,-0.14201005782043194
4,22,-0.13002693914657512
7,20,-0.1046300510693071
4,23,-0.1285880318450938
11,22,-0.07711578883246592
9,20,-0.1370186343973342
6,17,-0.09293544978202452
2,25,-0.07806871131242488
1,18,-0.10265572590123051
0,28,-0.035457050671329524
4,24,-0.09787492545792167
3,22,-0.05119056406910576
10,19,-0.08213276692274012
1,19,-0.06968424364606327
6,18,-0.0920007427322703
10,20,-0.1276925293869246
8,21,-0.05584949720940503
3,23,-0.1224407803955218
6,19,-0.16248896559766704
0,29,-0.09568116076310633
2,26,-0.1120007675771467
4,25,-0.1250904621110504
9,21,-0.10096398932982442
0,30,-0.09692326457345345
2,27,-0.0849408557402055
5,20,-0.04252402694561225
4,26,-0.09914818821961387
1,20,-0.08280270678002341
3,24,-0.07502137083638162
11,23,-0.08796260480346264
0,31,-0.07346194113005444
6,20,-0.0769271365006004
8,22,-0.07372599841468344
7,21,-0.04483959065659153
4,27,-0.12272472718299145
5,21,-0.08945046753999561
