Environment,Episode,Robustness
2,40,-0.096747332189353
3,29,-0.09501781720740894
1,37,-0.08923979799108397
7,36,-0.13674862737338794
0,42,-0.07294137301666659
2,41,-0.13711692035453021
11,42,-0.1125304992281073
1,38,-0.14128949349450448
2,42,-0.1416240254225422
8,45,-0.14792129831867898
0,43,-0.11766019761723338
1,39,-0.11397108508424868
8,46,-0.14167111327994833
6,38,-0.12014277126466756
2,43,-0.08303535015203398
5,40,-0.0818156681864138
2,44,-0.14878793288052175
3,30,-0.06398521393488009
5,41,-0.1375082286819667
4,43,-0.055322493418699936
7,37,-0.09717069849304494
9,34,-0.0778541335109031
6,39,-0.07214333060778863
10,32,-0.04161140900254723
2,45,-0.08286503260541125
0,44,-0.054985985073639
6,40,-0.12434980030769373
1,40,-0.04836165712064493
9,35,-0.0692800366268756
5,42,-0.06409221801841992
1,41,-0.12142411333699503
3,31,-0.05182308705434113
5,43,-0.1151183752165154
1,42,-0.10751602827292119
8,47,-0.0640995122697194
7,38,-0.06259627046831219
8,48,-0.1451631755411219
11,43,-0.08752986763936017
2,46,-0.06454171858173399
11,44,-0.14956208757194897
4,44,-0.044797818115709764
6,41,-0.08212667635656035
0,45,-0.04208270384823308
3,32,-0.08170364074500915
7,39,-0.07353946149457415
2,47,-0.11961052888401398
3,33,-0.09838436338645085
4,45,-0.1033012365537157
10,33,-0.05872570382793339
6,42,-0.05953042350421263
7,40,-0.15301693046288742
11,45,-0.054356652696767524
5,44,-0.07433657480035051
4,46,-0.1521790194118527
2,48,-0.10304588265157631
3,34,-0.07586214635962835
1,43,-0.06547944899125384
2,49,-0.14956466778699276
10,34,-0.06714563128019213
9,36,-0.08383226146174512
0,46,-0.06272212643572915
8,49,-0.060122094244346905
1,44,-0.13568051308967138
2,50,-0.13262023885848723
3,35,-0.06334159837095146
4,47,-0.07980572978328412
9,37,-0.0902038082295091
1,45,-0.1134577496033801
0,47,-0.13905091656324792
3,36,-0.09811378793619419
4,48,-0.08854379353065281
6,43,-0.09938346761678113
3,37,-0.12339270228270034
11,46,-0.07231408331762244
2,51,-0.1254715225219592
8,50,-0.06857788817755586
8,51,-0.109864121070307
1,46,-0.08233900391060046
8,52,-0.13059648011681635
5,45,-0.05455234015901701
1,47,-0.13842602322645167
8,53,-0.14935219627693774
11,47,-0.07322157852873613
2,52,-0.13668784254230473
0,48,-0.07339608454236309
5,46,-0.0888396162325222
6,44,-0.08236708439017826
4,49,-0.10713673181169629
2,53,-0.1120900766591555
3,38,-0.06635135918621952
10,35,-0.05909073152714002
8,54,-0.11180963507895626
