Environment,Episode,Robustness
11,0,0.0045983294521684485
9,0,0.0007433583875878398
8,0,0.006860719895859225
3,0,0.002077822239771151
2,0,0.008060069821637336
9,1,0.0015536733123137116
6,0,0.007258403628699164
6,1,0.00031884091262593395
0,0,-0.0046632209314526815
1,0,-0.026720654040481875
4,0,-0.04069284645458382
5,0,-0.0019524348454002527
7,0,-0.019670621430272487
10,0,-0.019301594456242865
11,1,0.005289337070352118
2,1,0.0032864897908489177
10,1,0.0009443096267445807
11,2,0.0011924894586893588
9,2,0.009164695729947036
8,1,-0.03791840070427192
3,1,-0.020317673241004305
11,3,0.0012736371124569476
1,1,0.004256548868202897
1,2,0.005572691176692729
2,2,0.0018844599292004854
8,2,0.004001390139246139
5,1,0.0024631334729934874
6,2,-0.0004828515395894871
0,1,-0.001649228123750894
4,1,-0.012819956604339534
7,1,-0.007175941454471195
8,3,5.640802682696164e-05
10,2,0.002499554728320603
9,3,0.0039783448904289614
4,2,0.0016631463551561414
1,3,0.007671625500145036
4,3,0.010286116449370396
4,4,0.0003190221297686424
3,2,-0.006921917264191217
11,4,-0.002010263912621154
2,3,0.00716005237927592
1,4,0.014494031470280777
5,2,0.005624956987250516
0,2,0.0006539333491173693
6,3,-0.04351307584715261
11,5,0.002982953050642379
8,4,0.0022171526248268916
7,2,-0.00497275804629271
6,4,0.0057771917236048055
10,3,0.0011930677940596816
10,4,0.005030047086942064
2,4,0.0007251953075276471
9,4,-0.001840659381494296
8,5,0.0019557190258108065
6,5,0.005244790274016205
4,5,-0.006470828016677473
3,3,-0.014574517090987091
1,5,0.0008837501227207459
2,5,0.008814367370629968
8,6,0.0020385377379030477
11,6,0.00025350981607919626
3,4,0.006818690362403098
5,3,-0.003647427473584257
9,5,0.0020178625269744767
1,6,0.00025788017530815194
6,6,0.0014213984924762724
3,5,0.005034785955304714
0,3,-0.010603076907664426
4,6,0.0004076680245467153
6,7,0.0005948431629681471
8,7,0.006923720829888345
7,3,-0.014511511246923427
6,8,0.0021017876410884886
1,7,0.002890014568054943
10,5,0.00707888580163832
1,8,0.0011016368846559037
2,6,0.004284533210336033
5,4,0.008549424617002803
1,9,0.00510877339682007
0,4,0.007818152616975684
6,9,0.007397937306570282
2,7,0.00091025644803246
6,10,0.0004671883888152928
9,6,0.00010827822856840363
7,4,0.005634309443099991
11,7,-0.0009946127018668934
5,5,0.001135542943302377
8,8,0.00011933004753490739
1,10,0.0017996013148614473
3,6,-0.0018219579343852904
4,7,-0.0029558545537342225
9,7,0.0025819706851346706
11,8,0.002603199686543149
5,6,0.001960408478870204
10,6,0.00018745681150069207
7,5,0.0012430064705502737
4,8,0.0017951642010713802
8,9,0.004262036248097335
1,11,0.004458430051121074
5,7,0.013301516656085732
3,7,0.001315747747261762
7,6,0.008172717989349836
2,8,3.7092382213457786e-05
8,10,0.0025536897242397286
10,7,0.010357451827713028
7,7,0.002952598167111256
8,11,0.005076402768693396
4,9,0.005304378582145506
10,8,0.004458894182872642
6,11,0.003039172355401649
9,8,0.0003682965033454666
0,5,-0.004484316972939748
2,9,0.004237680121114855
8,12,0.005242453714470269
