Environment,Episode,Step,Robustness
1,0,58,-0.018771399622600767
1,0,59,-0.018771399622600767
1,0,60,-0.018771399622600767
1,0,61,-0.018771399622600767
1,0,62,-0.018771399622600767
1,0,63,-0.018771399622600767
1,0,64,-0.018771399622600767
1,0,65,-0.018771399622600767
1,0,66,-0.018771399622600767
1,0,67,-0.018771399622600767
1,0,68,-0.018771399622600767
1,0,69,-0.018771399622600767
1,0,70,-0.018771399622600767
1,0,71,-0.018771399622600767
1,0,72,-0.018771399622600767
1,0,73,-0.018771399622600767
1,0,74,-0.018771399622600767
1,0,75,-0.018771399622600767
1,0,76,-0.018771399622600767
1,0,77,-0.018771399622600767
1,0,78,-0.018771399622600767
1,0,79,-0.018771399622600767
1,0,80,-0.018771399622600767
1,0,81,-0.018771399622600767
1,0,82,-0.018771399622600767
1,0,83,-0.018771399622600767
1,0,84,-0.018771399622600767
1,0,85,-0.018771399622600767
1,0,86,-0.018771399622600767
1,0,87,-0.018771399622600767
1,0,88,-0.018771399622600767
1,0,89,-0.018771399622600767
1,0,90,-0.018771399622600767
1,0,91,-0.018771399622600767
1,0,92,-0.018771399622600767
1,0,93,-0.018771399622600767
1,0,94,-0.018771399622600767
1,0,95,-0.018771399622600767
1,0,96,-0.018771399622600767
1,0,97,-0.018771399622600767
1,0,98,-0.018771399622600767
1,0,99,-0.018771399622600767
1,0,100,-0.018771399622600767
1,0,101,-0.018771399622600767
0,1,0,-0.05981160658620151
1,1,0,-0.05981160658620151
0,1,1,-0.05170524150028878
1,1,1,-0.04949987878198485
0,1,2,-0.05170524150028878
1,1,2,-0.04669385051710501
0,1,3,-0.03997889275949164
1,1,3,-0.04669385051710501
0,1,4,-0.035642066234792644
1,1,4,-0.043355772828754954
0,1,5,-0.035642066234792644
1,1,5,-0.043355772828754954
0,1,6,-0.035642066234792644
1,1,6,-0.03845380758029539
0,1,7,-0.035642066234792644
1,1,7,-0.018311442246549004
0,1,8,-0.035642066234792644
1,1,8,-0.012449084034330881
0,1,9,-0.035642066234792644
1,1,9,-0.012449084034330881
0,1,10,-0.035642066234792644
1,1,10,-0.012449084034330881
0,1,11,-0.035642066234792644
1,1,11,-0.012449084034330881
0,1,12,-0.035642066234792644
1,1,12,-0.012449084034330881
0,1,13,-0.035642066234792644
1,1,13,-0.012449084034330881
0,1,14,-0.035642066234792644
1,1,14,-0.012449084034330881
0,1,15,-0.035642066234792644
1,1,15,-0.012449084034330881
0,1,16,-0.035642066234792644
1,1,16,-0.012449084034330881
0,1,17,-0.035642066234792644
1,1,17,-0.012449084034330881
0,1,18,-0.035642066234792644
1,1,18,-0.012449084034330881
0,1,19,-0.035642066234792644
1,1,19,-0.012449084034330881
0,1,20,-0.035642066234792644
1,1,20,-0.012449084034330881
0,1,21,-0.035642066234792644
1,1,21,-0.012449084034330881
0,1,22,-0.035642066234792644
1,1,22,-0.012449084034330881
0,1,23,-0.035642066234792644
1,1,23,-0.012449084034330881
0,1,24,-0.035642066234792644
1,1,24,-0.012449084034330881
0,1,25,-0.035642066234792644
1,1,25,-0.012449084034330881
