Environment,Episode,Step,Robustness
0,0,0,-0.05981160658620151
1,0,0,-0.05981160658620151
0,0,1,-0.04732528801718097
1,0,1,-0.04867026498907526
0,0,2,-0.04409091428093223
1,0,2,-0.04867026498907526
0,0,3,-0.035624395671831816
1,0,3,-0.04867026498907526
0,0,4,-0.03154795372675476
1,0,4,-0.04867026498907526
0,0,5,-0.03154795372675476
1,0,5,-0.04867026498907526
0,0,6,-0.028802931356808854
1,0,6,-0.04867026498907526
0,0,7,-0.02590698547962828
1,0,7,-0.04867026498907526
0,0,8,-0.02590698547962828
1,0,8,-0.04867026498907526
0,0,9,-0.02590698547962828
1,0,9,-0.04867026498907526
0,0,10,-0.020267701394658246
1,0,10,-0.04867026498907526
0,0,11,-0.013943951396700297
1,0,11,-0.04867026498907526
0,0,12,-0.013943951396700297
1,0,12,-0.04867026498907526
0,0,13,-0.013943951396700297
1,0,13,-0.04867026498907526
0,0,14,-0.013943951396700297
1,0,14,-0.04867026498907526
0,0,15,-0.013943951396700297
1,0,15,-0.04224490916388239
0,0,16,-0.013943951396700297
1,0,16,-0.04224490916388239
0,0,17,-0.013943951396700297
1,0,17,-0.04224490916388239
0,0,18,-0.013943951396700297
1,0,18,-0.04224490916388239
0,0,19,-0.013943951396700297
1,0,19,-0.04224490916388239
0,0,20,-0.013943951396700297
1,0,20,-0.04224490916388239
0,0,21,-0.013943951396700297
1,0,21,-0.04224490916388239
0,0,22,-0.013943951396700297
1,0,22,-0.04224490916388239
0,0,23,-0.013943951396700297
1,0,23,-0.04224490916388239
0,0,24,-0.013943951396700297
1,0,24,-0.04224490916388239
0,0,25,-0.013943951396700297
1,0,25,-0.04224490916388239
0,0,26,-0.013943951396700297
1,0,26,-0.04224490916388239
0,0,27,-0.013943951396700297
1,0,27,-0.04224490916388239
0,0,28,-0.013943951396700297
1,0,28,-0.04224490916388239
0,0,29,-0.013943951396700297
1,0,29,-0.04224490916388239
0,0,30,-0.013943951396700297
1,0,30,-0.04224490916388239
0,0,31,-0.013943951396700297
1,0,31,-0.04224490916388239
0,0,32,-0.013943951396700297
1,0,32,-0.04224490916388239
0,0,33,-0.013943951396700297
1,0,33,-0.04224490916388239
0,0,34,-0.010656918967416499
1,0,34,-0.04224490916388239
1,0,35,-0.031042283381086364
1,0,36,-0.020796341913433738
1,0,37,-0.01979641345933682
1,0,38,-0.01979641345933682
1,0,39,-0.01979641345933682
1,0,40,-0.01979641345933682
1,0,41,-0.01979641345933682
1,0,42,-0.01979641345933682
1,0,43,-0.01979641345933682
1,0,44,-0.01979641345933682
1,0,45,-0.01979641345933682
1,0,46,-0.01979641345933682
1,0,47,-0.018771399622600767
1,0,48,-0.018771399622600767
1,0,49,-0.018771399622600767
1,0,50,-0.018771399622600767
1,0,51,-0.018771399622600767
1,0,52,-0.018771399622600767
1,0,53,-0.018771399622600767
1,0,54,-0.018771399622600767
1,0,55,-0.018771399622600767
1,0,56,-0.018771399622600767
1,0,57,-0.018771399622600767
