Cores,Time
4,5.825283281008402
3,6.108364137013753
2,7.535995006561279
1,8.036141979694367
4,5.853747105598449
3,6.295600958665212
2,6.640169084072113
1,7.863504322369893
4,5.5496471405029295
3,7.737558817863464
2,6.733774610360464
1,7.992781579494476
4,6.868630309899648
3,7.87182940642039
2,7.149480319023132
4,6.553262237707774
1,8.479310059547425
3,9.589919078350068
2,10.094784979025523
4,7.348232583204905
1,8.4355455438296
5,6.041388487815857
3,6.789520370960235
2,6.916932102044424
1,8.3935369292895
5,6.298969610532125
7,7.1993946234385175
6,8.11423245271047
8,7.1149457414944965
5,6.3833380818367
6,6.186436386903127
7,6.848643326759339
8,6.197623781363169
6,6.14607754945755
7,6.471896839141846
5,9.692790683110555
8,7.9943942387898765
6,6.975712327162425
7,6.779004422823588
5,8.620994512240092
8,6.8252309441566466
6,6.894686039288839
7,6.588843524456024
5,6.857430402437846
8,6.692774856090546
7,6.868401026725769
6,8.922214587529501
9,7.3251935283342995
8,6.9556118726730345
10,9.368001925945283
11,9.025121120611827
9,7.902175521850586
12,7.198919693628947
10,6.080005307992299
11,5.635294735431671
9,5.426133473714192
12,5.887907787164052
10,5.621329994996389
11,6.109022315343221
12,5.567497078577677
10,5.58408742348353
11,5.523376953601837
12,5.566098213195801
10,5.353658413887024
11,5.774544223149618
12,5.721365241209666
10,5.528926519552867
11,5.683701606591542
12,5.518136064211528
13,5.782815297444661
9,27.03230386575063
14,6.385285405317942
15,6.0023496349652605
13,6.46302402416865
9,6.044310502211252
14,7.720781981945038
15,7.323615980148316
13,8.462406333287557
13,6.629291907946269
16,9.81698275009791
13,7.772570860385895
16,7.831894179185231
13,7.304182934761047
16,7.981893583138784
16,23.10075738430023
16,5.528104011217753
16,5.581705943743388
