Cores,Time
5,8.403726959228516
4,8.5918137550354
3,9.224211208025615
2,9.592929911613464
5,10.127380339304606
4,10.954668140411377
1,10.990261018276215
3,11.278572066624958
2,11.385177258650462
1,14.115877763430278
5,7.9429279088974
4,8.293134013811747
3,8.749472284317017
2,9.131731077035267
5,9.777104111512502
1,10.536372530460358
4,10.654540757338205
3,11.034748808542888
2,11.183639804522196
5,8.009512571493785
4,8.361124912897745
3,8.769680261611938
2,9.2648335258166
1,14.033586815992992
5,9.787492362658183
1,10.782133189837138
4,10.866514345010122
5,8.100531057516735
3,10.980320568879446
4,8.381641697883605
2,11.350938721497853
3,8.778315202395122
2,9.11116216580073
5,9.877770181496938
5,8.070598562558493
1,13.9160941918691
4,8.431476227442424
1,10.661188546816508
4,10.699803229173025
3,8.663593443234761
3,11.058687643210094
2,11.20759783188502
2,9.10896901289622
6,8.01717293659846
5,10.023418188095093
7,8.072612750530244
8,8.604293394088746
1,10.683977476755778
4,10.582584416866302
9,8.453649719556173
3,11.051104629039765
1,13.793780799706777
2,11.166966791947683
6,7.928543480237325
7,8.227250321706135
6,9.627885671456655
8,8.792285831769307
10,8.561470786730448
7,9.353131568431854
6,8.274949606259664
9,9.014567506313323
8,10.584490764141083
7,8.235867901643116
10,8.77050172885259
6,9.753263652324677
9,14.65023313363393
10,8.466530303160349
8,9.612707138061523
7,9.179273056983948
6,8.24170080423355
9,9.314313332239786
7,8.218628561496734
8,9.996802333990733
10,8.613964104652405
6,9.970558126767477
10,8.558226430416108
6,8.254473789532979
7,9.238767882188162
7,8.135515936215718
8,11.83299374183019
9,9.261071912447612
10,8.469078906377156
9,16.263683581352232
8,10.440749220053355
10,8.520267045497894
6,9.450859606266022
7,8.941513884067536
12,9.125813138484954
8,9.213297347227732
9,9.154021282990774
10,8.23942272265752
9,8.724373193581899
10,8.2480477253596
8,10.23105186621348
6,9.335358989238738
7,8.942337437470753
13,9.224793457984925
9,8.780500125885009
10,8.280387036005656
9,8.10600596666336
12,10.788392158349355
8,10.352918036778767
11,9.12908557653427
11,25.80129254659017
14,11.988619856039683
12,8.877022683620453
13,8.68730597893397
13,9.271830010414124
14,8.683932252724965
12,9.398784363269806
11,8.791150720914205
11,9.828777718544007
12,8.710612873236338
14,9.972686553001404
13,8.852871100107828
14,8.3628489057223
13,9.385122772057851
12,9.302872840563456
11,8.6958793481191
12,8.73733731508255
14,9.13289470275243
11,10.326187086105346
14,8.407341734568279
13,8.591178429126739
13,9.079077295462291
12,10.64557036558787
11,8.78450509707133
12,8.94261064529419
11,8.537209204832713
14,8.359430682659148
13,8.601980078220368
14,10.154146027565002
13,8.598650681972504
11,8.675491575400034
12,8.632917066415152
14,8.414532419045766
13,8.570778612295786
14,10.000660026073456
20,8.275616880257925
16,11.8253378311793
24,9.248882945378622
20,8.290383899211884
24,8.928887212276459
16,12.892846043904623
20,8.11814159154892
15,29.127144173781076
24,9.31922897497813
20,8.166322926680246
16,13.035390679041544
24,8.350208759307861
20,8.22972635825475
24,8.540502965450287
15,19.75887853304545
16,13.529706001281738
