Environment,Episode,Robustness,Reward,End_Condition
0,0,-0.16136755642834774,-0.16136755642834774,no_reach_no_collision
0,1,-0.17813782871799458,-0.17813782871799458,no_reach_collision
0,2,-0.15442577073169828,-0.15442577073169828,no_reach_no_collision
0,3,-0.1288488350127324,-0.1288488350127324,no_reach_no_collision
0,4,-0.1430677245003217,-0.1430677245003217,no_reach_no_collision
0,5,-0.10245968291268874,-0.10245968291268874,no_reach_collision
0,6,-0.1267872573696484,-0.1267872573696484,no_reach_no_collision
0,7,-0.0881882054763357,-0.0881882054763357,no_reach_no_collision
0,8,-0.05132832140244893,-0.05132832140244893,no_reach_no_collision
0,9,-0.014222063558045988,-0.01613668340958639,no_reach_no_collision
0,10,-0.07516259675887725,-0.07516259675887725,no_reach_no_collision
0,11,-0.021988341602668108,-0.04821800200838786,reach_no_stay_collision
0,12,-0.12796311778455693,-0.12796311778455693,reach_no_stay_collision
0,13,-0.030029943172688856,-0.03832072200025098,reach_no_stay_no_collision
0,14,-0.0893954882594477,-0.0893954882594477,reach_no_stay_collision
0,15,-0.08846054906242183,-0.08846054906242183,reach_no_stay_collision
0,16,-0.05981038893092447,-0.07005478659167108,reach_no_stay_collision
0,17,-0.013152043517034657,-0.06630408703406931,reach_no_stay_collision
0,18,-0.017482262302940494,-0.07496452460588099,reach_no_stay_collision
0,19,-0.01920783136900928,-0.07841566273801856,reach_no_stay_collision
0,20,-0.018359267687722194,-0.07671853537544439,reach_no_stay_collision
0,21,-0.01949940379857808,-0.07432889971303444,reach_no_stay_collision
0,22,-0.02392097179869389,-0.07469608037886225,reach_no_stay_collision
0,23,-0.025680544328277186,-0.07247218129054314,reach_no_stay_collision
0,24,-0.027430300270360444,-0.0739256028319513,reach_no_stay_collision
0,25,-0.01792418725218488,-0.07584837450436975,reach_no_stay_collision
0,26,-0.017668568558567348,-0.07533713711713469,reach_no_stay_collision
0,27,-0.023811911187017126,-0.07733039590376067,reach_no_stay_collision
0,28,-0.04978014994424891,-0.07580818964622545,reach_no_stay_collision
0,29,-0.014425977138243892,-0.06885195427648778,reach_no_stay_collision
0,30,-0.017518608241228046,-0.07503721648245609,reach_no_stay_collision
0,31,-0.017529134559766364,-0.07505826911953273,reach_no_stay_collision
0,32,-0.01767329493855788,-0.07534658987711576,reach_no_stay_collision
0,33,-0.016270209873459084,-0.07254041974691817,reach_no_stay_collision
0,34,-0.018034677955380364,-0.07606935591076074,reach_stay_collision
0,35,-0.021297241213663793,-0.07750686802742886,reach_no_stay_collision
0,36,-0.018567724632133627,-0.07713544926426726,reach_no_stay_collision
0,37,-0.025768292169161166,-0.07275080687342718,reach_no_stay_collision
0,38,-0.03492555818837498,-0.07559090730542067,reach_no_stay_collision
0,39,-0.022186310564740967,-0.07403842027469874,reach_no_stay_collision
0,40,-0.01655195826007138,-0.07310391652014277,reach_stay_collision
0,41,-0.02532477651234701,-0.0668814298849143,reach_no_stay_collision
0,42,-0.017321703967330026,-0.0725079950615021,reach_no_stay_collision
0,43,-0.03229803478568272,-0.07428624982229244,reach_no_stay_collision
0,44,-0.026767552219306736,-0.0761312546706021,reach_no_stay_collision
0,45,-0.040425183025537964,-0.07511995152510678,reach_no_stay_collision
0,46,-0.018156248014561935,-0.07631249602912386,reach_no_stay_collision
